donor,recipient,engraftment rate,flux,metabolism
D-9Fryst,31,-0.009364712479310328,33.351222398424824,scfa metabolism
D-9Fryst,32,0.07847737573027493,37.97397846459068,scfa metabolism
D-9Fryst,33,0.03703727091152906,35.41812970919416,scfa metabolism
D-9Fryst,36,0.19801883886574262,40.29148781854728,scfa metabolism
D-9Fryst,37,0.2981049714679599,25.630282422154895,scfa metabolism
D-9Fryst,56,0.1455691215641825,33.13456173869022,scfa metabolism
D-9Fryst,59,0.28511973991597317,34.363174817636754,scfa metabolism
D-9Fryst,70,0.21374472336026468,43.241067968571826,scfa metabolism
D-9Fryst,71,0.18158090376841318,40.6584907222564,scfa metabolism
D-9Fryst,75,0.058943786051576345,34.35364010482734,scfa metabolism
D-9Fryst,77,0.3268491594002018,56.212192732795806,scfa metabolism
D-9Fryst,78,0.2817655990291999,68.36458542869106,scfa metabolism
D-9Fryst,88,-0.28390649719495364,39.08712794648198,scfa metabolism
D-9Fryst,89,0.01204260631609318,48.06649072809518,scfa metabolism
D-9Fryst,90,-0.22676716251943552,40.27367901556901,scfa metabolism
D-10,11,0.3105815199185404,0.5514706334982429,gas metabolism
D-10,12,0.06561113024527154,0.5534978264274943,gas metabolism
D-10,16,0.44797034927657015,0.32036136105504065,gas metabolism
D-10,18,0.32063717986706963,0.28321563859455673,gas metabolism
D-10,19,0.2667467230281505,0.4831946445944065,gas metabolism
D-10,22,0.2384015425409633,0.294806211404235,gas metabolism
D-10,23,0.10508062617526881,0.24575845800506463,gas metabolism
D-10,24,0.18060878805539532,0.6808589709208624,gas metabolism
D-10,25,0.04833619292630116,0.33206262445353396,gas metabolism
D-10,3,-0.010045195531365873,0.32172818268950965,gas metabolism
D-10,30,0.15772341846100632,0.29093630219248257,gas metabolism
D-10,31,-0.014534878351317468,0.27760881957369193,gas metabolism
D-10,32,0.09279557981894156,0.39730582749403964,gas metabolism
D-10,33,0.1452774537266111,0.4536557829646349,gas metabolism
D-10,36,0.06007760159934854,0.315521350066006,gas metabolism
D-10,37,0.3564556741544495,0.3427120055444758,gas metabolism
D-10,54,-0.06676073174740763,0.39039836603894473,gas metabolism
D-10,70,0.29731244894567427,0.457453913186458,gas metabolism
D-10,71,0.20391425466892546,0.6118533442278176,gas metabolism
D-10,75,0.12369548416539188,0.3282436580437753,gas metabolism
D-10,77,0.275977446911633,0.48711995352057463,gas metabolism
D-10,78,0.3045452221138164,0.366844041529565,gas metabolism
D-10,88,-0.15246245350015822,0.4484552243956436,gas metabolism
D-10,89,0.08170160727400938,0.4296706650649202,gas metabolism
D-10,90,-0.2506566619688429,0.34725027894704463,gas metabolism
D-12,11,0.17043542884792667,0.8573590947543328,gas metabolism
D-12,12,0.02503508458204448,0.8160965873090024,gas metabolism
D-12,16,0.14548279062191785,0.6959487740465465,gas metabolism
D-12,18,0.19219196018055626,0.7534631308256755,gas metabolism
D-12,19,0.035575845058760665,0.5579034753520934,gas metabolism
D-12,22,0.17163740943981065,0.38668219235298945,gas metabolism
D-12,23,0.059280905489629596,0.2683805634165679,gas metabolism
D-12,24,0.030712696463211023,1.0242845604820332,gas metabolism
D-12,25,-0.11887265350341357,0.610004080347955,gas metabolism
D-12,3,-0.17812676031186156,0.42634630104972737,gas metabolism
D-12,30,-0.03957419681195041,0.5691996793048901,gas metabolism
D-12,31,-0.1750698087423868,0.5820687368376393,gas metabolism
D-12,32,-0.04617881529056613,0.5909537540620812,gas metabolism
D-12,33,-0.11415118475808843,0.28587147623118203,gas metabolism
D-12,36,-0.025839358473929288,0.5408180547872417,gas metabolism
D-12,37,0.2267984006620882,0.49172369607060606,gas metabolism
D-12,54,-0.31759545492874536,0.49782966325400685,gas metabolism
D-12,56,0.04070356641963459,0.6659995655351502,gas metabolism
D-12,59,0.1431234340960174,0.5992021320001694,gas metabolism
D-12,75,-0.006278950877020389,0.5738525907364171,gas metabolism
D-12,77,0.2056942381200173,0.835999119504466,gas metabolism
D-12,78,0.2753164719636311,0.4060951789531851,gas metabolism
D-12,88,-0.24395534886204018,0.39704971288420204,gas metabolism
D-12,89,-0.25938036347529203,0.481930314668622,gas metabolism
D-12,90,-0.22107915869225908,0.3853128689341136,gas metabolism
D-13U,11,0.2223967119628439,0.641171718923808,gas metabolism
D-13U,12,0.07370598217890256,0.6846240956748845,gas metabolism
D-13U,16,0.2761413422720155,0.7519209417911805,gas metabolism
D-13U,18,0.25599085345048095,0.5264570331934462,gas metabolism
D-13U,19,0.174360383466058,0.6796666979138424,gas metabolism
D-13U,22,0.22814309160908586,0.3639279753654316,gas metabolism
D-13U,23,0.11263821794336347,0.28372470051709653,gas metabolism
D-13U,24,0.197650266101231,0.8921700974299173,gas metabolism
D-13U,25,-0.037153900002902605,0.5827326141831317,gas metabolism
D-13U,3,-0.2732465784841402,0.5798393483841424,gas metabolism
D-13U,30,0.01125296122986977,0.7983367041717605,gas metabolism
D-13U,31,-0.08117389471500339,0.4820956089498324,gas metabolism
D-13U,32,0.006703899796965232,0.44490158828841503,gas metabolism
D-13U,33,-0.030062390227081577,0.3581370433329446,gas metabolism
D-13U,36,0.10116536455120456,0.49409306242850337,gas metabolism
D-13U,37,0.23938948335484234,0.6035738708210788,gas metabolism
D-13U,54,-0.17552941053301066,0.3237363981754903,gas metabolism
D-13U,56,0.09057798923213663,0.6881735735434059,gas metabolism
D-13U,59,0.16703638401179832,0.7257904530734993,gas metabolism
D-13U,70,0.1315685955293471,0.7653896753170519,gas metabolism
D-13U,71,0.08782366616581148,1.019219134270223,gas metabolism
D-13U,88,-0.2523113079136952,0.462111766580553,gas metabolism
