taxon,donor,donor_abd
AZC7E_64,T,0
AZC7E_69,T,0.0191908842930465
AZC7E_70,T,0
AZC7E_73,T,0.00741834603448427
AZC7E_77,T,0
AZC7E_78,T,0
AZC7E_82,T,0
AZC7E_89,T,0
AZC7E_96,T,0.00387182288513767
AZC9C_103,T,0.00314585941501895
AZC9C_106,T,0
AZC9C_112,T,0
AZC9C_113,T,0
AZC9C_116,T,0
AZC9C_18,T,0.0424664860325159
AZC9C_29,T,0
AZC9C_32,T,0
AZC9C_40,T,0
AZC9C_53,T,0
AZC9C_54,T,0
AZC9C_6,T,0
AZC9C_61,T,0
AZC9C_68,T,0
AZC9C_7,T,0
AZC9C_71,T,0.00554847104291358
AZC9C_75,T,0.00713749369932017
AZC9C_86,T,0.0015533889620031
AZC9C_93,T,0.00204932611270132
AZC9C_94,T,0
AZC9C_95,T,0
AZC9C_96,T,0
AZC9C_98,T,0.00116244228213175
AZC3J_21,T,0
AZC3J_32,T,0
AZC3J_43,T,0
AZC3J_58,T,0
AZC3J_88,T,0
AZC3J_90,T,0
AZC5T_106,T,0
AZC5T_108,T,0
AZC5T_21,T,0
AZC5T_32,T,0
AZC5T_34,T,0.00718400133102273
AZC5T_39,T,0
AZC5T_41,T,0
AZC5T_51,T,0.00202362000054217
AZC5T_52,T,0
AZC5T_84,T,0
AZC5T_9,T,0
AZC7E_101,T,0
AZC7E_104,T,0
AZC7E_105,T,0
AZC7E_106,T,0
AZC7E_111,T,0.00931407226086558
AZC7E_113,T,0
AZC7E_115,T,0
AZC7E_116,T,0
AZC7E_13,T,0
AZC7E_17,T,0
AZC7E_2,T,0
AZC7E_23,T,0
AZC7E_24,T,0
AZC7E_26,T,0
AZC7E_3,T,0
AZC7E_32,T,0
AZC7E_34,T,0
AZC7E_36,T,0
AZC7E_37,T,0
AZC7E_38,T,0
AZC7E_4,T,0
AZC7E_42,T,0
AZC7E_48,T,0
AZC7E_5,T,0
AZC7E_55,T,0.00101359098157278
AZC7E_58,T,0
AZC7E_62,T,0
AZC7E_68,T,0
AZC7E_71,T,0.00274596210877337
AZC7E_72,T,0.00856067855922815
AZC7E_76,T,0
AZC7E_79,T,0
AZC7E_80,T,0
AZC7E_81,T,0.00718393662006504
AZC7E_84,T,0
AZC7E_87,T,0
AZC7E_88,T,0
AZC7E_90,T,0.00356494132977277
AZC7E_91,T,0
AZC7E_93,T,0
AZC7E_94,T,0
AZC7E_95,T,0
