taxon,distance,sample_id,donor,recipient,mean_d0_abundance,fold_change,colonization,colonization_binary,independence,donor_diversity,recipient_diversity,diversity_ratio,donor_abd
AZC5T_78,0.743779756955781,EtoT,E,T,0.00062049058908558,1.09557752704237,non-colonized,0,16.06,4.06235438221927,3.54157208843192,1.14704833920744,0.00127260450000483
AZC5T_94,0.677172347557411,EtoT,E,T,8.647199498779e-05,12.3502073149448,non-colonized,0,22.81,4.06235438221927,3.54157208843192,1.14704833920744,0.0012598585173038
AZC5T_97,0.734884400875829,EtoT,E,T,1.24510791422e-06,1491.25853587757,non-colonized,0,22.38,4.06235438221927,3.54157208843192,1.14704833920744,0.00177276551181986
AZC5T_106,1.10773123130817,EtoT,E,T,3.53445356841e-06,1790.19040198388,colonized,1,18.45,4.06235438221927,3.54157208843192,1.14704833920744,0.00290841240647702
AZC5T_107,0.990597455157183,EtoT,E,T,0.00011717384997211,61.1111334367839,colonized,1,22.04,4.06235438221927,3.54157208843192,1.14704833920744,0.00237501810705513
AZC5T_108,0.776727327445879,EtoT,E,T,4.97709419142e-06,1.47894623088081,non-colonized,0,3.76,4.06235438221927,3.54157208843192,1.14704833920744,0.00146310537756737
AZC5T_109,6.06718870356636,EtoT,E,T,0.00083767916473582,14.3195487178285,colonized,1,19.28,4.06235438221927,3.54157208843192,1.14704833920744,0.0093738233765665
AZC5T_120,13.9530966182041,EtoT,E,T,0.00097782626381384,0.0047223897841426,non-colonized,0,7.44,4.06235438221927,3.54157208843192,1.14704833920744,0.0118916388478232
AZC7E_2,10.2411837288445,EtoT,E,T,1.274034431666e-05,2047.06923259521,colonized,1,14.37,4.06235438221927,3.54157208843192,1.14704833920744,0.0171484838649244
AZC7E_3,6.38722973070531,EtoT,E,T,3.8064985658e-07,10015.7295180874,colonized,1,19.96,4.06235438221927,3.54157208843192,1.14704833920744,0.0198989005754119
AZC7E_4,1.13451557124919,EtoT,E,T,2.65189470091e-06,2928.97743175817,colonized,1,15.54,4.06235438221927,3.54157208843192,1.14704833920744,0.00299786258175139
AZC7E_12,8.01884044913076,EtoT,E,T,0.00046874805279631,20.570900054371,colonized,1,22.55,4.06235438221927,3.54157208843192,1.14704833920744,0.0169330440784221
AZC7E_13,0.499091273312654,EtoT,E,T,0.0001128445369695,0.745135111662408,non-colonized,0,15.38,4.06235438221927,3.54157208843192,1.14704833920744,0.00183016221089563
AZC7E_15,15.810774267963,EtoT,E,T,0.00022220257330378,2.74776623721805,non-colonized,0,14.76,4.06235438221927,3.54157208843192,1.14704833920744,0.0686894950410282
AZC7E_17,1.15998551431856,EtoT,E,T,0.00014685839670414,55.4090348653104,colonized,1,20.67,4.06235438221927,3.54157208843192,1.14704833920744,0.00276926673910755
AZC7E_23,2.96199569995454,EtoT,E,T,5.8907559473e-07,5696.08213657437,colonized,1,22.38,4.06235438221927,3.54157208843192,1.14704833920744,0.00702896859185992
AZC7E_24,1.02036962158711,EtoT,E,T,0.00019343296144161,0.668860383989315,non-colonized,0,13.79,4.06235438221927,3.54157208843192,1.14704833920744,0.00307237114648414
AZC7E_25,5.66380820933694,EtoT,E,T,4.50734259353e-05,455.481992764074,colonized,1,21.26,4.06235438221927,3.54157208843192,1.14704833920744,0.0144854775999608
AZC7E_26,1.46324310780035,EtoT,E,T,2.753824629e-07,14535.4062452956,colonized,1,20.08,4.06235438221927,3.54157208843192,1.14704833920744,0.00277481404775453
AZC7E_32,2.98951825748838,EtoT,E,T,7.3687175571e-07,3128.81239822289,non-colonized,0,19.9,4.06235438221927,3.54157208843192,1.14704833920744,0.00579604107382229
AZC7E_34,0.281463216322203,EtoT,E,T,0.00027398309759361,0.703588148864236,non-colonized,0,13.03,4.06235438221927,3.54157208843192,1.14704833920744,0.00113586282558357
AZC7E_36,1.43556338138959,EtoT,E,T,1.190786978035e-05,457.181701921014,non-colonized,0,22.18,4.06235438221927,3.54157208843192,1.14704833920744,0.00448775904274928
AZC7E_37,3.73029580208367,EtoT,E,T,1.09309365485e-06,2818.65352574553,colonized,1,21.29,4.06235438221927,3.54157208843192,1.14704833920744,0.00991376303420443
AZC7E_38,7.66021212822963,EtoT,E,T,9.4951559226e-07,10548.6700768025,colonized,1,18.86,4.06235438221927,3.54157208843192,1.14704833920744,0.0233212254046702
AZC7E_39,1.63682421903515,EtoT,E,T,8.6234900844e-07,3749.71842587047,colonized,1,20.88,4.06235438221927,3.54157208843192,1.14704833920744,0.00434792304630614
AZC7E_42,8.3663075033394,EtoT,E,T,0.00059942590168441,0.314772452229601,non-colonized,0,10.55,4.06235438221927,3.54157208843192,1.14704833920744,0.0199639613849345
AZC7E_48,1.28906663064251,EtoT,E,T,1.01225421862e-06,141.912425053713,non-colonized,0,18.38,4.06235438221927,3.54157208843192,1.14704833920744,0.00458538945928881
AZC7E_54,12.0290531272414,EtoT,E,T,3.178567650712e-05,1776.39014770983,colonized,1,20.95,4.06235438221927,3.54157208843192,1.14704833920744,0.0293573220760276
AZC7E_58,1.66412709414388,EtoT,E,T,2.9348327277e-07,7879.31869647876,colonized,1,21.6,4.06235438221927,3.54157208843192,1.14704833920744,0.00436998783591332
AZC7E_60,1.74607457912976,EtoT,E,T,2.73906128472e-06,1682.53353503615,non-colonized,0,20.98,4.06235438221927,3.54157208843192,1.14704833920744,0.00383433270182521
AZC7E_61,1.18053380125658,EtoT,E,T,5.753470254017e-05,198.220745164869,colonized,1,21.2,4.06235438221927,3.54157208843192,1.14704833920744,0.00286548000095336
AZC7E_62,0.947999079010466,EtoT,E,T,0.00045212540216243,0.866151973847694,non-colonized,0,14.3,4.06235438221927,3.54157208843192,1.14704833920744,0.00331410824804025
AZC7E_68,4.52300111019264,EtoT,E,T,4.771618887263e-05,244.34008653828,colonized,1,20.96,4.06235438221927,3.54157208843192,1.14704833920744,0.00978356182803776
AZC7E_70,11.0825628569295,EtoT,E,T,2.64978565171e-06,4401.80398134173,colonized,1,19.64,4.06235438221927,3.54157208843192,1.14704833920744,0.0226656383407715
