taxon,average_distance,recipient,donor_subject,n_donor_replicates_used
411470,8.393557599937642,FAT_015,FAT_DON_11,3
411471,7.780023645903584,FAT_015,FAT_DON_11,3
411473,7.253353108577308,FAT_015,FAT_DON_11,3
411474,6.116636118069628,FAT_015,FAT_DON_11,3
411475,7.69840100275033,FAT_015,FAT_DON_11,3
411476,6.0931724090282415,FAT_015,FAT_DON_11,3
411477,11.520463919749112,FAT_015,FAT_DON_11,3
411479,11.207117324074735,FAT_015,FAT_DON_11,3
411483,11.583338646168722,FAT_015,FAT_DON_11,3
411484,14.897928864496379,FAT_015,FAT_DON_11,3
411485,11.668071879929267,FAT_015,FAT_DON_11,3
411486,8.604047791245614,FAT_015,FAT_DON_11,3
411487,9.267477953245631,FAT_015,FAT_DON_11,3
411489,8.255384097190841,FAT_015,FAT_DON_11,3
411490,5.54429537839355,FAT_015,FAT_DON_11,3
411901,3.9893670908881007,FAT_015,FAT_DON_11,3
411902,5.966170343512733,FAT_015,FAT_DON_11,3
411903,14.34054143232548,FAT_015,FAT_DON_11,3
428125,5.182012029915019,FAT_015,FAT_DON_11,3
428126,2.752528762420438,FAT_015,FAT_DON_11,3
428127,5.533650095124443,FAT_015,FAT_DON_11,3
428128,4.419082032792792,FAT_015,FAT_DON_11,3
435590,17.239992847648043,FAT_015,FAT_DON_11,3
435591,8.346843302825713,FAT_015,FAT_DON_11,3
442563,4.174174904827751,FAT_015,FAT_DON_11,3
445970,15.446383167339917,FAT_015,FAT_DON_11,3
445972,7.436262824711363,FAT_015,FAT_DON_11,3
445973,8.359297194998357,FAT_015,FAT_DON_11,3
445975,1.0767240582825803,FAT_015,FAT_DON_11,3
449673,6.259971879532723,FAT_015,FAT_DON_11,3
450749,4.912759023905082,FAT_015,FAT_DON_11,3
451640,1.8061987378032864,FAT_015,FAT_DON_11,3
457387,4.620519048092942,FAT_015,FAT_DON_11,3
457388,6.09640590709386,FAT_015,FAT_DON_11,3
457390,5.3206822973436,FAT_015,FAT_DON_11,3
457391,7.396633952575257,FAT_015,FAT_DON_11,3
457392,4.307407178654523,FAT_015,FAT_DON_11,3
457393,9.842840971957608,FAT_015,FAT_DON_11,3
457394,11.185471526594208,FAT_015,FAT_DON_11,3
457395,7.971535418197156,FAT_015,FAT_DON_11,3
457400,2.9287113585209497,FAT_015,FAT_DON_11,3
457401,3.0073458307740477,FAT_015,FAT_DON_11,3
457412,10.13576804828119,FAT_015,FAT_DON_11,3
457416,4.897064070187832,FAT_015,FAT_DON_11,3
457421,3.986847148466847,FAT_015,FAT_DON_11,3
457424,5.48223273593852,FAT_015,FAT_DON_11,3
469585,4.788872406616947,FAT_015,FAT_DON_11,3
469588,4.060810944066854,FAT_015,FAT_DON_11,3
469589,6.262938538186231,FAT_015,FAT_DON_11,3
469590,5.236334687251625,FAT_015,FAT_DON_11,3
469591,7.567121400286873,FAT_015,FAT_DON_11,3
469592,6.5359225554014655,FAT_015,FAT_DON_11,3
469593,11.050988191330484,FAT_015,FAT_DON_11,3
469596,5.988112027659919,FAT_015,FAT_DON_11,3
469610,7.2241374166982615,FAT_015,FAT_DON_11,3
470145,4.530247905547501,FAT_015,FAT_DON_11,3
470146,10.481976348337383,FAT_015,FAT_DON_11,3
471870,6.518883704273775,FAT_015,FAT_DON_11,3
471872,1.7086513123943905,FAT_015,FAT_DON_11,3
471875,8.01673185019843,FAT_015,FAT_DON_11,3
471881,1.9864334600362827,FAT_015,FAT_DON_11,3
476272,5.41802329106099,FAT_015,FAT_DON_11,3
478749,4.2217870017078765,FAT_015,FAT_DON_11,3
479436,5.704342419958533,FAT_015,FAT_DON_11,3
479437,3.978732914449626,FAT_015,FAT_DON_11,3
483215,9.531224529315443,FAT_015,FAT_DON_11,3
483216,5.724755888442626,FAT_015,FAT_DON_11,3
483217,8.508074560346932,FAT_015,FAT_DON_11,3
483218,5.741509687006585,FAT_015,FAT_DON_11,3
484018,6.304757931910952,FAT_015,FAT_DON_11,3
484020,4.6431586794619415,FAT_015,FAT_DON_11,3
500632,6.405322129319497,FAT_015,FAT_DON_11,3
500635,2.256521436772229,FAT_015,FAT_DON_11,3
502347,1.5835640115715173,FAT_015,FAT_DON_11,3
511145,3.400616208129685,FAT_015,FAT_DON_11,3
511680,9.819414626782402,FAT_015,FAT_DON_11,3
515619,10.611105973482674,FAT_015,FAT_DON_11,3
515620,15.342539786601279,FAT_015,FAT_DON_11,3
518635,2.131743108476867,FAT_015,FAT_DON_11,3
518636,6.2671042866510485,FAT_015,FAT_DON_11,3
518637,6.050247649050314,FAT_015,FAT_DON_11,3
525259,4.962500265169504,FAT_015,FAT_DON_11,3
525306,3.971461673159229,FAT_015,FAT_DON_11,3
525337,3.389757148914048,FAT_015,FAT_DON_11,3
525362,0.7545741985451254,FAT_015,FAT_DON_11,3
536231,8.135092928766754,FAT_015,FAT_DON_11,3
537006,7.5857631321648356,FAT_015,FAT_DON_11,3
537007,6.158646533452367,FAT_015,FAT_DON_11,3
