id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC7E_104,44946.609402884555,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA3263,UBA3263 sp2
AZC7E_105,32989.5718476615,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,
AZC7E_106,26637.094302318852,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,
AZC7E_109,25813.877819791567,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,
AZC7E_111,29565.921724962136,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_002492665.1
AZC7E_113,367875.5059010621,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp21
AZC7E_115,10117.288347978641,E,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,
AZC7E_116,8946.24071152017,E,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,
AZC7E_12,100860.32240959497,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_002491635.1
AZC7E_13,10901.21479622277,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,unclassified Lachnospiraceae,
AZC7E_15,409143.48205228115,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC7E_17,16494.915790154693,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,GCA_002490635.1
AZC7E_2,102143.57226271299,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,
AZC7E_23,41867.48909992614,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002358615.1
AZC7E_24,18300.332944340822,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC7E_25,86281.5884859585,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC7E_26,16527.95789032586,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum sp1
AZC7E_3,118526.20936539494,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_002494015.1
