taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC7E_81,0,3.25102746178466,21.22,0.00016565495897448,0.933749629677281
AZC7E_90,0,0.941917755402474,21.2,0.00036150828181608,0.933749629677281
AZC7E_111,0,2.83065477995005,15.12,0.00035458803443177,0.933749629677281
AZC7E_117,0,2.80011864999372,17.22,1.628495695102e-05,0.933749629677281
AZC9C_34,0,0.625712773271853,13.28,0.00016495739362363,0.933749629677281
AZC9C_58,0,0.368324732398704,8.52,0.00073590145085835,0.933749629677281
AZC9C_60,0,3.99792216506228,10.3,5.420111832892e-05,0.933749629677281
AZC3J_1,0,0.305168486077778,16.05,0.00124076514546529,0.871802840228123
AZC3J_2,0,0.286451019540393,17.11,0.00023097039440455,0.871802840228123
AZC3J_6,0,5.02096108951878,11.81,8.030388305257e-05,0.871802840228123
AZC3J_10,0,0.492500180628127,17.08,0.00012970736922424,0.871802840228123
AZC3J_18,0,3.72644238711682,23.45,0.00043242963871694,0.871802840228123
AZC3J_26,0,0.476823210340278,15.35,0.00071498571193446,0.871802840228123
AZC3J_45,0,0.298089649686481,13.71,0.00023843064994574,0.871802840228123
AZC3J_62,0,5.78375736144955,22.18,0.00013430551803791,0.871802840228123
AZC3J_63,0,0.33143900255836,12.82,0.00042107934273533,0.871802840228123
AZC3J_70,0,1.44897656753513,11.71,0.00016075769500279,0.871802840228123
AZC3J_71,0,0.337772902438627,3.48,9.905526253451e-05,0.871802840228123
AZC3J_92,0,0.655020070779541,15.68,4.192814648286e-05,0.871802840228123
AZC3J_95,0,0.37244511582831,10.09,6.449700163828e-05,0.871802840228123
AZC3J_99,0,1.5424916118083,6.83,0.00022255492009235,0.871802840228123
AZC5T_1,0,2.11486421508593,16.71,4.670704156791e-05,0.871802840228123
AZC5T_4,0,1.09417104394033,9.28,0.00059482842664737,0.871802840228123
AZC5T_12,0,4.13963770596967,20.98,0.00047106661656067,0.871802840228123
AZC5T_24,0,0.323572469855786,14.34,0.00018668065806415,0.871802840228123
AZC5T_30,0,1.96757455323302,11.93,0.00014509576365548,0.871802840228123
AZC5T_47,0,1.87593007673478,13.95,0.00013599825239746,0.871802840228123
AZC5T_49,0,3.86690208467082,21.93,7.581340411524e-05,0.871802840228123
AZC5T_53,0,3.67264079217777,20.99,2.84486865206e-05,0.871802840228123
AZC5T_58,0,6.63795556919834,21.7,3.095256902771e-05,0.871802840228123
AZC5T_61,0,0.607049221417252,22.2,3.464422727085e-05,0.871802840228123
AZC5T_63,0,0.602238003356047,14.11,0.00134951768574651,0.871802840228123
AZC5T_64,0,2.55474480748939,8.97,0.00193381492673462,0.871802840228123
AZC5T_65,0,1.44452146941566,15.6,0.00018046150475018,0.871802840228123
AZC5T_71,0,0.299629106692922,11.51,8.328139518135e-05,0.871802840228123
AZC5T_79,0,0.481630215009199,9.23,0.00029066273624251,0.871802840228123
AZC5T_80,0,11.427066088041,22.19,0.00057355276315658,0.871802840228123
AZC5T_90,0,0.275013621998757,16.61,0.00132859901830397,0.871802840228123
AZC5T_99,0,0.692599488525311,14.53,0.0019773459720525,0.871802840228123
AZC5T_111,0,0.563151310286562,9.44,5.674783104577e-05,0.871802840228123
