focal,PC1,PC2,sample_id
AZC7E_29,-0.1446706850017232,-0.04720085264562714,C
AZC7E_39,7.6858003116548375,-0.8221708313235568,C
AZC7E_45,0.21155275806004434,-0.11057113841694757,C
AZC7E_51,-0.14922849013399747,-0.045679492835028083,C
AZC7E_54,-0.14843195970754158,-0.029263232028384642,C
AZC7E_57,-0.15283947736923345,-0.04217698723191626,C
AZC7E_59,-0.15428331157568473,-0.0470890289577909,C
AZC7E_60,-0.1547424381201754,-0.043890072616320136,C
AZC7E_61,-0.12786677840067126,-0.027822206972376223,C
AZC7E_64,-0.14827041606978436,-0.045168863178196635,C
AZC7E_69,-0.15197289974598935,-0.04765050926682486,C
AZC7E_70,-0.15463020834302715,-0.04470258843494737,C
AZC7E_73,6.79685679416687,-1.2954481095500008,C
AZC7E_77,-0.15264823990938897,-0.045773725678725716,C
AZC7E_82,-0.15298259611137818,-0.04767791608469497,C
AZC7E_89,0.16842963636053887,0.06092574780524908,C
AZC7E_96,-0.10967754855617104,-0.03145799418132712,C
AZC7E_109,-0.1520003763964362,-0.03705391338258065,C
AZC7E_114,-0.15403957827230458,-0.04717145765164936,C
AZC9C_6,7.41414915459924,-0.7397847116406696,C
AZC9C_7,-0.15461368313710433,-0.042484355788726356,C
AZC9C_18,-0.11174748951938059,-0.031128047999921415,C
AZC9C_29,-0.13087054112972527,-0.05138750032200562,C
AZC9C_32,-0.14557205028313608,-0.038556461859000815,C
AZC9C_40,-0.15374676195258646,-0.045493282627112414,C
AZC9C_53,0.011176017478743626,-0.0500748759846188,C
AZC9C_54,-0.12458457096753198,-0.039110396681547636,C
AZC9C_61,-0.15076705869836843,-0.047326054750570265,C
AZC9C_68,-0.15374367109015324,-0.04786739362116429,C
AZC9C_71,-0.026367261272200463,-0.031117672376124294,C
AZC9C_75,-0.03844197110292707,-0.0190196670429718,C
AZC9C_86,-0.15301156316820835,-0.04538108646890042,C
AZC9C_93,-0.15423267845657662,-0.04761676119791731,C
AZC9C_95,-0.13572742567522475,-0.04528638369176869,C
AZC9C_96,-0.15261991230797511,-0.04624885651713146,C
AZC9C_98,-0.15423261265837634,-0.047964732136248765,C
AZC9C_106,-0.15229183520828363,-0.03810451538964776,C
AZC9C_112,-0.14964685050818113,-0.0459759355964516,C
AZC9C_113,-0.10636982436506955,-0.053313707912129124,C
AZC9C_116,-0.13697947686509246,-0.042096871895990144,C
AZC3J_21,-0.15418256708932807,-0.047950758138868,E
AZC3J_32,-0.15250091864212054,-0.03669975082815009,E
AZC3J_34,-0.14657956516580653,-0.0006454769875283013,E
AZC3J_43,-0.15174613844727028,-0.04586497307733925,E
AZC3J_55,-0.1525354375181589,-0.04782972675849602,E
AZC3J_58,-0.11783833693113868,-0.053874061803559234,E
AZC3J_74,-0.13271600572219686,0.00942052153818399,E
AZC3J_76,-0.15363647370433453,-0.04787923948767756,E
AZC3J_79,-0.14546001680296664,-0.01712780375951555,E
AZC3J_81,-0.1538484043870987,-0.04793249136345964,E
AZC3J_88,-0.15187022432744884,-0.04732263535222981,E
AZC3J_90,-0.1500680211217908,-0.03553726189606333,E
AZC3J_91,-0.15406752867929147,-0.04661653265609948,E
AZC5T_8,-0.13906794045542448,0.04371942195332885,E
AZC5T_9,-0.1526960738392043,-0.04625299842286383,E
AZC5T_21,-0.15440014111691527,-0.0479724119661992,E
AZC5T_32,-0.15454392137899303,-0.04775152274070371,E
