taxon,shannon_diversity,sample_id
AZC7E_95,2.0326850399238072,E
AZC7E_96,2.1165250738458696,E
AZC7E_97,2.214633108313568,E
AZC7E_101,2.6697199610648576,E
AZC7E_104,2.182984975785015,E
AZC7E_105,1.7140095498832972,E
AZC7E_106,2.0310281903359044,E
AZC7E_109,2.554684605504751,E
AZC7E_111,2.561861584380848,E
AZC7E_113,1.950456824394419,E
AZC7E_115,2.1308535620706763,E
AZC7E_116,2.2570372219396506,E
AZC9C_6,1.9871939479277902,E
AZC9C_7,1.9639291744224785,E
AZC9C_14,1.6791647403861285,E
AZC9C_25,2.4274232057603946,E
AZC9C_27,2.5826799156959988,E
AZC9C_29,2.09409486011986,E
AZC9C_34,2.092967573124122,E
AZC9C_40,2.2257417314348262,E
AZC9C_57,2.372213076995923,E
AZC9C_68,1.983644097877235,E
AZC9C_71,2.1218506327080577,E
AZC9C_88,2.164947711737482,E
AZC9C_93,2.3563767031265037,E
AZC9C_98,2.1795942151730747,E
AZC9C_102,2.4099400627008665,E
AZC9C_106,1.984003068789437,E
AZC9C_113,2.5227664807480696,E
AZC9C_116,2.3744821000604674,E
