taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC5T_93,1.76387485934911,24.4927536231884,14.1418627036011,23.45,0.00064982616487158,1.03140581272381,3.6583370734929,1
AZC5T_99,0.043900328019955,2.78260869565217,0.92803966508777,14.53,3.679394388156e-05,1.03140581272381,1.72473110287366,0
AZC5T_104,0.0249562055854147,3.34782608695652,0.6827332381061,16.3,0.00058100410625063,1.03140581272381,0.197884016523541,0
AZC5T_111,0.0275951468542021,3.33333333333333,0.557683285204605,9.44,5.581129237844e-05,1.03140581272381,2.26900338110015,0
AZC5T_119,0.0302825911053987,4.18840579710145,1.37360628024524,15.79,0.00016156798541312,1.03140581272381,-0.238758614416481,0
AZC7E_22,0.111091253503973,3.94202898550725,2.72844617106484,10.2,1.104813431037e-05,1.03140581272381,-0.440524163596153,0
AZC7E_52,0.111015992336601,3.94202898550725,2.72725267183719,19.48,7.905429773216e-05,1.03140581272381,-0.283392044081075,0
AZC7E_55,0.0156552899305173,3.79710144927536,0.217274614755289,4.12,0.00065255474707236,1.03140581272381,-0.872607777089837,0
AZC7E_57,0.0947249464268944,3.3768115942029,3.02225251196072,14.48,6.954675226324e-05,1.03140581272381,0.306142003941474,0
AZC7E_71,0.0424524786306287,2.47826086956522,0.836397966280516,21.32,0.00010206358563819,1.03140581272381,-0.420506384332982,0
AZC7E_73,0.114756466452356,3.73913043478261,3.80963733304188,21.16,0.0004777613516599,1.03140581272381,1.37464188878668,0
AZC7E_81,0.111038988320687,3.14492753623188,3.19185822791013,21.22,0.00024515522598378,1.03140581272381,-0.320959440598959,0
AZC7E_90,0.0551434845224304,2.95652173913044,1.47621047585267,21.2,8.453762514107e-05,1.03140581272381,-0.378759767826167,0
AZC7E_96,0.0598120472190447,3.31884057971015,1.48428183240021,9.89,5.4270847603e-07,1.03140581272381,5.76782764246472,0
AZC7E_111,0.144009832762652,2.30434782608696,4.84330814824492,15.12,8.342148101612e-05,1.03140581272381,-0.25769544567848,0
AZC7E_114,0.153565574826351,4.88405797101449,4.68605368711676,18.14,3.42089588414e-06,1.03140581272381,-0.312291853043905,0
AZC7E_117,0.111131340157309,1.55072463768116,3.12130567028631,17.22,3.83391824059e-06,1.03140581272381,-0.417637152883432,0
AZC9C_18,0.655881389217648,8.40579710144928,10.3949909613305,23.31,2.948316573994e-05,1.03140581272381,6.17025488465421,1
AZC9C_58,0.0174015926367328,3.40579710144928,0.430800545511584,8.52,0.00143920463465927,1.03140581272381,-0.302292417933252,0
AZC9C_71,0.0857163633366557,3.59420289855072,2.63413673789233,9.89,2.5456550805e-06,1.03140581272381,5.2743602538218,0
AZC9C_75,0.110411861542544,4.14492753623188,3.63210757181709,22.54,6.71644741153e-05,1.03140581272381,3.15714309325411,0
AZC9C_86,0.0248691198837993,1.50724637681159,0.337400220071135,18.42,0.0001033663693633,1.03140581272381,1.09937452723902,0
AZC9C_93,0.0316645132070479,2.72463768115942,0.539223862249036,14.45,0.00041239445600326,1.03140581272381,-0.25611516920559,0
AZC3J_1,0.0177863283450375,3.40579710144928,0.306163939799625,16.05,0.00074499090613873,0.933749629677281,0.192641810058817,0
AZC3J_2,0.0202827444717828,1.69565217391304,0.243095469087581,17.11,0.00027324171740169,0.933749629677281,-0.315937285255063,0
AZC3J_6,0.116117871949158,6.2463768115942,4.75480127606009,11.81,0.0004125835341238,0.933749629677281,-0.325201255788203,0
