taxon,average_distance,comparison,sample_id
585543,9.205391837318343,D-3 vs 16-0,D-3
585544,6.554620444861534,D-3 vs 16-0,D-3
592028,9.248631585888251,D-3 vs 16-0,D-3
622312,6.846221717460432,D-3 vs 16-0,D-3
626522,2.946239863840953,D-3 vs 16-0,D-3
645463,3.222399466670891,D-3 vs 16-0,D-3
649757,3.543939024844471,D-3 vs 16-0,D-3
657309,10.37216958913405,D-3 vs 16-0,D-3
657313,5.737403369653606,D-3 vs 16-0,D-3
657314,4.69361942650722,D-3 vs 16-0,D-3
657317,6.888762965776924,D-3 vs 16-0,D-3
657319,3.85496077413847,D-3 vs 16-0,D-3
657321,3.316729577304509,D-3 vs 16-0,D-3
657322,8.109110894988962,D-3 vs 16-0,D-3
657323,5.805065563032963,D-3 vs 16-0,D-3
658089,3.894511467001503,D-3 vs 16-0,D-3
665951,4.625900353358777,D-3 vs 16-0,D-3
665953,12.091880115682818,D-3 vs 16-0,D-3
679189,4.756227235063934,D-3 vs 16-0,D-3
679935,7.3595224592265485,D-3 vs 16-0,D-3
702443,11.571854497974861,D-3 vs 16-0,D-3
702444,8.496800789892657,D-3 vs 16-0,D-3
702447,8.064296260446351,D-3 vs 16-0,D-3
709991,11.354674752907973,D-3 vs 16-0,D-3
717959,11.100996469117433,D-3 vs 16-0,D-3
717960,3.6993044293464727,D-3 vs 16-0,D-3
717962,6.116736706614722,D-3 vs 16-0,D-3
718252,10.449634048829022,D-3 vs 16-0,D-3
742726,10.508908315443719,D-3 vs 16-0,D-3
742727,9.082245056441543,D-3 vs 16-0,D-3
742733,3.8488713615462884,D-3 vs 16-0,D-3
742740,4.147502630346668,D-3 vs 16-0,D-3
742741,4.676604467316538,D-3 vs 16-0,D-3
742817,5.169301122903298,D-3 vs 16-0,D-3
742821,8.988971923582337,D-3 vs 16-0,D-3
748224,13.356068653966323,D-3 vs 16-0,D-3
762967,2.6098923536008836,D-3 vs 16-0,D-3
762968,8.765298665371226,D-3 vs 16-0,D-3
762982,15.733794364947864,D-3 vs 16-0,D-3
762984,8.331454433876226,D-3 vs 16-0,D-3
763034,6.524299655988064,D-3 vs 16-0,D-3
818,6.489037268713247,D-3 vs 16-0,D-3
862962,6.2745575631235075,D-3 vs 16-0,D-3
862965,9.713556850673147,D-3 vs 16-0,D-3
866776,3.6564721193904184,D-3 vs 16-0,D-3
868129,4.423621724617446,D-3 vs 16-0,D-3
888048,4.586481778918175,D-3 vs 16-0,D-3
904306,2.875365430514493,D-3 vs 16-0,D-3
997884,10.583418084756946,D-3 vs 16-0,D-3
999410,4.060765661272124,D-3 vs 16-0,D-3
1002367,2.980483211070189,D-7Fryst vs 18-0,D-7Fryst
1077285,9.9351607627487,D-7Fryst vs 18-0,D-7Fryst
1121097,2.2474665207740867,D-7Fryst vs 18-0,D-7Fryst
1121100,9.048771718066844,D-7Fryst vs 18-0,D-7Fryst
1121101,3.464876747000114,D-7Fryst vs 18-0,D-7Fryst
1121115,4.031506884232113,D-7Fryst vs 18-0,D-7Fryst
1121130,5.185347963629591,D-7Fryst vs 18-0,D-7Fryst
1122975,2.347357445602445,D-7Fryst vs 18-0,D-7Fryst
1122981,2.1878885198828097,D-7Fryst vs 18-0,D-7Fryst
1122992,5.567791995138348,D-7Fryst vs 18-0,D-7Fryst
1160721,5.810920362204045,D-7Fryst vs 18-0,D-7Fryst
1203465,3.433953726155,D-7Fryst vs 18-0,D-7Fryst
1203610,2.934970865612523,D-7Fryst vs 18-0,D-7Fryst
1203611,7.066874948344227,D-7Fryst vs 18-0,D-7Fryst
1235789,3.5488149888130733,D-7Fryst vs 18-0,D-7Fryst
1256908,2.6327564699477506,D-7Fryst vs 18-0,D-7Fryst
1322347,2.1342861932573443,D-7Fryst vs 18-0,D-7Fryst
1408437,2.298879256857609,D-7Fryst vs 18-0,D-7Fryst
1437612,3.733126913570827,D-7Fryst vs 18-0,D-7Fryst
226186,5.918144994665228,D-7Fryst vs 18-0,D-7Fryst
272559,3.2763752158481423,D-7Fryst vs 18-0,D-7Fryst
295405,4.190184934279376,D-7Fryst vs 18-0,D-7Fryst
347253,2.700120647312188,D-7Fryst vs 18-0,D-7Fryst
364106,2.2953551630446603,D-7Fryst vs 18-0,D-7Fryst
367928,2.8436922416298342,D-7Fryst vs 18-0,D-7Fryst
411459,2.9893683350421254,D-7Fryst vs 18-0,D-7Fryst
411460,2.3312918657560138,D-7Fryst vs 18-0,D-7Fryst
411461,5.846834233646945,D-7Fryst vs 18-0,D-7Fryst
411462,3.4834569869295082,D-7Fryst vs 18-0,D-7Fryst
411463,7.623851010221017,D-7Fryst vs 18-0,D-7Fryst
