taxon,donor,donor_abundance
1423799,D-2,17.5565158591621
1423799,D-5Fryst,11.6783026328974
1423799,D-14,5.58818220805932
1140001,D-6Fresk,11.8977239075261
1140001,D-7Fryst,2.20003411312171
1140001,D-15Fryst,4.67710924515644
1140001,D-13U,5.11804146669661
1140001,D-4,12.2748624297207
1140001,D-12,12.2772188161615
1140001,D-9Fryst,3.18195996827311
1140001,D-3,8.73862613607061
1140001,D-10,9.30165970828626
1140001,D-2,9.94869232019187
1140001,D-5Fryst,6.28831680232938
1140001,D-14,5.12250035738771
767031,D-6Fresk,69.4033894605687
767031,D-7Fryst,47.6674057843037
767031,D-15Fryst,32.739764716095
767031,D-13U,71.6525805337526
767031,D-4,60.4052440620468
767031,D-12,56.9216508749307
767031,D-9Fryst,58.3359327516738
767031,D-3,77.8153851164383
767031,D-10,64.396105672751
767031,D-2,28.0904253746594
767031,D-5Fryst,53.0015273339191
767031,D-14,72.6463687047711
1127131,D-6Fresk,1.98295398458768
1127131,D-7Fryst,2.20003411312171
1127131,D-15Fryst,10.913254905365
1127131,D-13U,10.2360829333932
1127131,D-4,4.19929504174657
1127131,D-12,27.9027700367307
1127131,D-9Fryst,4.24261329103082
1127131,D-3,3.7451254868874
1127131,D-10,6.4396105672751
1127131,D-2,4.68173756244323
1127131,D-5Fryst,4.4916548588067
1127131,D-14,3.72545480537288
537972,D-6Fresk,1.98295398458768
537972,D-7Fryst,2.20003411312171
537972,D-15Fryst,3.11807283010429
537972,D-13U,5.11804146669661
537972,D-4,6.7834766058983
537972,D-12,25.6705484337923
537972,D-9Fryst,1.0606533227577
537972,D-3,2.080625270493
537972,D-10,1.43102457050558
537972,D-2,2.92608597652702
537972,D-5Fryst,1.79666194352268
537972,D-14,2.79409110402966
537007,D-6Fresk,1856.04492957407
537007,D-7Fryst,1028.14927553221
537007,D-15Fryst,2135.87988862144
537007,D-13U,2231.46607947972
537007,D-4,1027.53519444583
537007,D-12,4603.39900065983
537007,D-9Fryst,598.208474035345
537007,D-3,2125.98290138975
537007,D-10,1562.67883099209
537007,D-2,2242.55229241031
537007,D-5Fryst,1954.76819455268
537007,D-14,1882.28604041465
749518,D-6Fresk,3.96590796917536
749518,D-7Fryst,4.40006822624342
749518,D-15Fryst,3.11807283010429
749518,D-13U,10.2360829333932
749518,D-4,1.29209078207587
749518,D-12,19.5319390257115
749518,D-9Fryst,5.30326661378852
749518,D-3,2.4967503245916
749518,D-10,2.14653685575837
749518,D-2,1.75565158591621
749518,D-5Fryst,0.898330971761341
749518,D-14,3.25977295470127
936154,D-6Fresk,1.98295398458768
936154,D-7Fryst,7.33344704373903
936154,D-15Fryst,6.23614566020858
936154,D-13U,10.2360829333932
936154,D-4,4.8453404327845
936154,D-12,21.2061052279153
936154,D-9Fryst,8.48522658206164
936154,D-3,9.57087624426781
936154,D-10,14.3102457050558
936154,D-2,5.26695475774864
936154,D-5Fryst,4.4916548588067
936154,D-14,9.3136370134322
1203611,D-6Fresk,29036.3951963174
1203611,D-7Fryst,18834.4920424349
1203611,D-15Fryst,777942.021710455
1203611,D-13U,129634.872309958
1203611,D-4,66518.1255520477
1203611,D-12,102338.431608317
1203611,D-9Fryst,153594.268321866
1203611,D-3,84100.1218084894
1203611,D-10,317080.700234344
1203611,D-2,31841.0823793717
1203611,D-5Fryst,22892.1681533942
1203611,D-14,58884.0729718731
657309,D-6Fresk,68622.1055906412
657309,D-7Fryst,62506.6358773096
657309,D-15Fryst,74782.2997208062
657309,D-13U,97493.5718991037
657309,D-4,70490.65866154
657309,D-12,63673.5631684188
657309,D-9Fryst,79978.5638025447
657309,D-3,80739.4958715892
657309,D-10,136086.143581369
657309,D-2,52738.0179893371
657309,D-5Fryst,71182.8478713969
657309,D-14,77963.0583938889
206672,D-6Fresk,16030.2000114068
206672,D-7Fryst,444.406890850585
206672,D-15Fryst,19212.0057426876
206672,D-13U,941.719629872176
206672,D-4,1496.88717103489
206672,D-12,2815.94755210686
206672,D-9Fryst,214.251971197056
