donor,recipient,taxon,pre_abundance,post_abundance,log_fold_change
D-2,11-0,1257041,34.3693680609748,4.99504187090824,-2.78255464899954
D-2,11-0,300267,53.8763066901766,17726.848595201,8.36206941235812
D-2,11-0,879090,8.36011655537224,2.22001860929255,-1.91295128625522
D-2,11-0,515620,8881.23048732377,4171.4149668607,-1.09022273789186
D-2,11-0,1219013,29.7248588635457,9.43507908949334,-1.65556344356257
D-2,11-0,1125712,856.447496005911,178.156493395727,-2.26521973811994
D-2,11-0,657319,22145.0198533416,2442.57547487413,-3.18050724376788
D-2,11-0,641146,11.1468220738296,4.99504187090824,-1.15806378409175
D-2,11-0,398578,145.837588799271,67.7105675834228,-1.10690969614165
D-2,11-0,1316931,124.472846491098,14.4301209604016,-3.10867575712959
D-2,11-0,866776,118.899435454183,23.8652000498949,-2.31676153011081
D-2,11-0,1005995,27.8670551845741,13.3201116557553,-1.06495437970027
D-2,11-0,537013,16416.4822092326,1928.6411668229,-3.08948836069846
D-2,11-0,649757,40345.9224962264,2581.32663795491,-3.96623826194636
D-2,11-0,1189311,3.71560735794322,3.33002791393883,-0.158063784091751
D-2,11-0,398525,161.62892007053,54.9454605799906,-1.55661316058203
D-2,11-0,1458276,81.7433618747508,12.210102351109,-2.74302628481291
D-2,11-0,1197906,87.3167729116656,27.1952279638338,-1.68290529237534
D-2,11-0,649746,5.57341103691482,10.5450883941396,0.919938727909522
D-2,11-0,246198,148.624294317729,54.3904559276675,-1.45024453558506
D-2,11-0,585524,8.36011655537224,1.11000930464628,-2.91295128625522
D-2,11-0,546263,37.1560735794322,18.3151535266635,-1.02056026034182
D-2,11-0,362948,37.1560735794322,3.33002791393883,-3.47999187897911
D-2,11-0,1295400,52.018503011205,13.8751163080784,-1.90652501709579
D-2,11-0,1110694,30.6537607030315,11.1000930464628,-1.465492309284
D-2,11-0,1077285,216.434128600192,474868.085578852,11.0993830753261
D-2,11-0,709991,510.896011717192,57048.9282122953,6.80302629893283
D-2,11-0,556263,13.9335275922871,3.33002791393883,-2.06495437970027
D-2,11-0,1123253,122.615042812126,53.2804466230212,-1.2024579034502
D-2,11-0,742726,8873.79927260789,348359.770123664,5.29488229613324
D-2,11-0,411468,36907.12788645,4647.60895855396,-2.98933887819076
D-2,11-0,469603,6.50231287640063,2.22001860929255,-1.55038120687051
D-2,11-0,483218,25923.7925363698,712.625973582909,-5.18498791599485
D-2,11-0,1122950,987.42265537341,48.285404752113,-4.35400867049528
D-2,11-0,1410665,305.60870519083,359.08801005307,0.232651843444359
D-2,11-0,290339,34.3693680609748,83.8057025007938,1.28592508888322
D-2,11-0,537973,202.500601007905,1.11000930464628,-7.51121060958983
D-2,11-0,525362,1281.88453849041,35.5202977486808,-5.17347883647844
D-2,11-0,1121101,645.586778442634,41691.9494825141,6.01301399011736
D-2,11-0,1280692,106.823711540867,17.2051442220173,-2.63432002537041
D-2,11-0,1123524,52.018503011205,37.7403163579734,-0.462918365620172
D-2,11-0,469607,5.57341103691482,2.22001860929255,-1.32798878553406
D-2,11-0,1274524,32.5115643820031,16.6501395696941,-0.965418706149355
D-2,11-0,556267,6.50231287640063,3.33002791393883,-0.965418706149355
D-2,11-0,632245,170.917938465388,64.380539669484,-1.40860724574235
D-2,11-0,1033734,15.7913312712587,7.77006513252393,-1.02313420400564
D-2,11-0,665951,82836.6793398256,14259.1795274861,-2.53837875007591
D-2,11-0,521003,6757.76088225922,336.332819307821,-4.32858383402296
D-2,11-0,1118059,134.690766725442,38.2953210102965,-1.81441091804967
D-2,11-0,411486,69353.6691396891,23171.9992391433,-1.58158968726136
D-2,11-0,525370,35.2982699004606,11.6550976987859,-1.59863637547773
D-2,11-0,1005996,41.8005827768612,846.382094792785,4.33971414619503
D-2,11-0,473819,824.864833463394,27.1952279638338,-4.9227323070478
D-2,11-0,592022,10.2179202343438,6.66005582787765,-0.617495402729048
D-2,11-0,596315,94.747987627552,16.6501395696941,-2.50856103117588
D-2,11-0,500632,25646.9797882031,3986.5984176371,-2.68555875210461
D-2,11-0,213810,3721.18076898013,636.590336214639,-2.54732331460979
D-2,11-0,457405,21.3647423081735,2.22001860929255,-3.26658824086992
D-2,11-0,1158606,13.9335275922871,8.8800744371702,-0.649916880421425
D-2,11-0,195103,181.135858699732,17.2051442220173,-3.39616028817564
D-2,11-0,367737,15.7913312712587,6.66005582787765,-1.24552662534209
D-2,11-0,1121102,4.64450919742902,0.555004652323138,-3.06495437970027
D-2,11-0,264731,341.835876930776,49.3954140567593,-2.79085480990352
D-2,11-0,546274,60.3786195665773,14.9851256127247,-2.01050659567789
D-2,11-0,411471,45454.8826133983,17734.6186603335,-1.35786696330783
D-2,11-0,1045856,50.1606993322334,82.6956931961475,0.721254733485786
D-2,11-0,1006000,52.018503011205,225.886893495517,2.11850377739574
D-2,11-0,1139219,44.5872882953186,6.66005582787765,-2.74302628481291
D-2,11-0,226186,1091.45966139582,18403.9542710352,4.07568506011784
D-2,11-0,1076934,92.8901839485804,23.3101953975718,-1.99456505180887
D-2,11-0,1122237,113.326024417268,17.2051442220173,-2.71956731198892
D-2,11-0,758678,65.0231287640063,18.3151535266635,-1.82791518239942
D-2,11-0,411484,55603.1352097807,2973.15992249505,-4.22509726112404
D-2,11-0,553973,773.775232291675,1536.80788228277,0.989950368188476
D-2,11-0,416269,26.9381533450883,4.99504187090824,-2.43108227849817
D-2,11-0,657308,13079.8668017996,3060.8506575621,-2.09534328835678
D-2,11-0,218495,8.36011655537224,4.4400372185851,-0.912951286255219
D-2,11-0,552396,39220.0934667696,7357.14167119552,-2.4143756959904
D-2,11-0,457387,94967.2084616707,26967.6760563813,-1.8161982440705
D-2,11-0,575595,8.36011655537224,2.22001860929255,-1.91295128625522
D-2,11-0,1211844,1059.8769988533,377.958168232057,-1.48759837308952
D-2,11-0,562983,21.3647423081735,16.095134917371,-0.408607245742348
D-2,11-0,983952,100.321398664467,19.4251628313098,-2.36863077003141
D-2,11-0,543734,2241.44013867925,5.55004652323138,-8.6577103901413
D-2,11-0,1121864,415.219122250154,73.2606141066542,-2.50276318663777
D-2,11-0,999412,6877.58921955289,2106.24265556631,-1.70723129438065
D-2,11-0,445975,11044.6428714862,1673.89403140658,-2.72206666617726
D-2,11-0,295405,959.555600188836,13776.8804846172,3.84373903973521
D-2,11-0,370551,12.0757239133155,2.77502326161569,-2.12153790806664
D-2,11-0,1408437,6833.93083309706,1778.78991069566,-1.94181951932659
D-2,11-0,537011,603.786195665773,568.324763978893,-0.0873221927287238
D-2,11-0,349966,111.468220738296,22.2001860929255,-2.32798878553406
D-2,11-0,262727,23.2225459871451,3.33002791393883,-2.80191997386648
D-2,11-0,525365,8.36011655537224,3.33002791393883,-1.32798878553406
D-2,11-0,1217674,2.78670551845741,4.4400372185851,0.672011214465937
D-2,11-0,411464,465.379821582388,238.096995846626,-0.96685924050857
D-2,11-0,246201,153.268803515158,293.59746107894,0.937775413055303
D-2,11-0,931276,214.576324921221,30.5252558777726,-2.8134156127043
D-2,11-0,566551,62.2364232455489,43.8453675335279,-0.505334727093576
D-2,11-0,491074,350.195993486148,210.901767882792,-0.731591389750623
D-2,11-0,1160719,37.1560735794322,24.4202047022181,-0.605522761062972
D-2,11-0,547043,4682.59417284794,229.771926061779,-4.34903356632295
D-2,11-0,866499,437.512766397814,84.9157118054401,-2.36522169173304
D-2,11-0,483216,2431.86501577383,17217.9093290207,2.82377491805143
D-2,11-0,391904,3237.22291060803,884.677415803082,-1.87153331157822
D-2,11-0,1158612,15.7913312712587,6.10505117555452,-1.37105750742595
D-2,11-0,537971,57.5919140481199,1.11000930464628,-5.69722259519978
D-2,11-0,411466,215.505226760707,651.020457175041,1.59498001808803
D-2,11-0,435591,34899.7710113211,50609.7642360423,0.536198183136405
D-2,11-0,515619,399946.118205329,5398.53025314716,-6.21109515137793
D-2,11-0,393126,14.8624294317729,1.66501395696941,-3.15806378409175
D-2,11-0,525259,12454.7158638257,952.387983386504,-3.70899888101271
D-2,11-0,903814,2902.81824839314,226.996902800163,-3.67670972630797
D-2,11-0,499177,90.103478430123,9.43507908949334,-3.2554762857497
D-2,11-0,665953,11780.333128359,47752.6002858828,2.01919895799194
D-2,11-0,1350,33.4404662214889,1.11000930464628,-4.91295128625522
D-2,11-0,888746,50.1606993322334,51.6154326660518,0.0412450241316559
D-2,11-0,469615,8.36011655537224,8.32506978484707,-0.0060606906467008
D-2,11-0,641112,3103.46104572207,88.800744371702,-5.12716245726052
D-2,11-0,1006003,14.8624294317729,896.887518154191,5.91518519793889
D-2,11-0,883062,391.067674423524,34.9652930963577,-3.48342278437939
D-2,11-0,525379,8.36011655537224,8.8800744371702,0.0870487137447806
D-2,11-0,360104,6.50231287640063,2.77502326161569,-1.22845311198315
