taxon,average_distance,comparison,sample_id
457416,2.402974565,D-3 vs 16-0,D-3
457421,2.009231336,D-3 vs 16-0,D-3
457424,9.364995671,D-3 vs 16-0,D-3
469593,15.55118998,D-3 vs 16-0,D-3
469596,2.253058122,D-3 vs 16-0,D-3
470145,11.55512117,D-3 vs 16-0,D-3
470146,3.470170008,D-3 vs 16-0,D-3
471870,5.243231958,D-3 vs 16-0,D-3
471875,4.929704753,D-3 vs 16-0,D-3
476272,2.276966524,D-3 vs 16-0,D-3
479436,1.634458496,D-3 vs 16-0,D-3
483215,5.905486808,D-3 vs 16-0,D-3
483217,8.217655903,D-3 vs 16-0,D-3
483218,2.72073261,D-3 vs 16-0,D-3
484018,8.44997382,D-3 vs 16-0,D-3
500632,2.053616191,D-3 vs 16-0,D-3
511680,2.608157377,D-3 vs 16-0,D-3
515619,7.281750244,D-3 vs 16-0,D-3
515620,11.34709353,D-3 vs 16-0,D-3
518636,3.268949221,D-3 vs 16-0,D-3
536231,10.64386154,D-3 vs 16-0,D-3
537006,5.346362221,D-3 vs 16-0,D-3
537007,2.740123283,D-3 vs 16-0,D-3
537011,5.104477323,D-3 vs 16-0,D-3
537012,3.736362744,D-3 vs 16-0,D-3
545696,1.880560301,D-3 vs 16-0,D-3
546273,3.64953743,D-3 vs 16-0,D-3
547042,7.934689215,D-3 vs 16-0,D-3
552396,2.302058792,D-3 vs 16-0,D-3
552398,4.292532426,D-3 vs 16-0,D-3
561,3.235128811,D-3 vs 16-0,D-3
563192,7.64266897,D-3 vs 16-0,D-3
563193,6.583251288,D-3 vs 16-0,D-3
566550,2.362167712,D-3 vs 16-0,D-3
566552,2.917000189,D-3 vs 16-0,D-3
585394,4.017856055,D-3 vs 16-0,D-3
592028,8.730901445,D-3 vs 16-0,D-3
622312,5.849003308,D-3 vs 16-0,D-3
626522,2.096586271,D-3 vs 16-0,D-3
641112,1.961520583,D-3 vs 16-0,D-3
645463,2.623740658,D-3 vs 16-0,D-3
649757,2.293971094,D-3 vs 16-0,D-3
657309,9.595610155,D-3 vs 16-0,D-3
657313,4.683668252,D-3 vs 16-0,D-3
657314,3.422580093,D-3 vs 16-0,D-3
657321,2.188775088,D-3 vs 16-0,D-3
665951,3.918116473,D-3 vs 16-0,D-3
665953,12.88741113,D-3 vs 16-0,D-3
679189,3.992191823,D-3 vs 16-0,D-3
679935,6.495385268,D-3 vs 16-0,D-3
709991,10.05552918,D-3 vs 16-0,D-3
717959,8.372416069,D-3 vs 16-0,D-3
717960,2.5009733,D-3 vs 16-0,D-3
717962,4.16020561,D-3 vs 16-0,D-3
718252,13.85730802,D-3 vs 16-0,D-3
742726,8.475693749,D-3 vs 16-0,D-3
742727,7.502344298,D-3 vs 16-0,D-3
742733,2.446130816,D-3 vs 16-0,D-3
742741,4.505693237,D-3 vs 16-0,D-3
742817,3.169990693,D-3 vs 16-0,D-3
742821,6.446431895,D-3 vs 16-0,D-3
748224,11.60761282,D-3 vs 16-0,D-3
762967,1.95659888,D-3 vs 16-0,D-3
762968,6.012730701,D-3 vs 16-0,D-3
762982,11.73765187,D-3 vs 16-0,D-3
762984,6.58182674,D-3 vs 16-0,D-3
763034,5.119597453,D-3 vs 16-0,D-3
862965,6.739976277,D-3 vs 16-0,D-3
866776,2.449100092,D-3 vs 16-0,D-3
868129,2.905502268,D-3 vs 16-0,D-3
888048,2.880170211,D-3 vs 16-0,D-3
904306,1.758916925,D-3 vs 16-0,D-3
997884,8.422673997,D-3 vs 16-0,D-3
999410,2.732278833,D-3 vs 16-0,D-3
1002367,2.594453178,D-7Fryst vs 18-0,D-7Fryst
1077285,9.246036481,D-7Fryst vs 18-0,D-7Fryst
1121097,1.61439832,D-7Fryst vs 18-0,D-7Fryst
1121100,6.997775757,D-7Fryst vs 18-0,D-7Fryst
1121101,2.271498501,D-7Fryst vs 18-0,D-7Fryst
1121115,2.492495694,D-7Fryst vs 18-0,D-7Fryst
1121130,3.840241208,D-7Fryst vs 18-0,D-7Fryst
1122975,1.767608734,D-7Fryst vs 18-0,D-7Fryst
1122981,1.713514678,D-7Fryst vs 18-0,D-7Fryst
1160721,4.595801575,D-7Fryst vs 18-0,D-7Fryst
1203465,2.461163621,D-7Fryst vs 18-0,D-7Fryst
1203610,2.1792846,D-7Fryst vs 18-0,D-7Fryst
1203611,5.854431035,D-7Fryst vs 18-0,D-7Fryst
1235789,2.754161443,D-7Fryst vs 18-0,D-7Fryst
1235811,1.807692456,D-7Fryst vs 18-0,D-7Fryst
1256908,1.892435669,D-7Fryst vs 18-0,D-7Fryst
1408437,1.646372684,D-7Fryst vs 18-0,D-7Fryst
1437612,2.644875002,D-7Fryst vs 18-0,D-7Fryst
226186,5.079281506,D-7Fryst vs 18-0,D-7Fryst
347253,1.773396727,D-7Fryst vs 18-0,D-7Fryst
364106,1.746700583,D-7Fryst vs 18-0,D-7Fryst
367928,1.997882329,D-7Fryst vs 18-0,D-7Fryst
411459,1.951629214,D-7Fryst vs 18-0,D-7Fryst
411461,4.255722516,D-7Fryst vs 18-0,D-7Fryst
411462,3.043156705,D-7Fryst vs 18-0,D-7Fryst
411463,6.09402402,D-7Fryst vs 18-0,D-7Fryst
411467,2.226509116,D-7Fryst vs 18-0,D-7Fryst
411469,1.987660491,D-7Fryst vs 18-0,D-7Fryst
411470,1.737034698,D-7Fryst vs 18-0,D-7Fryst
411471,4.539951313,D-7Fryst vs 18-0,D-7Fryst
411475,4.452321762,D-7Fryst vs 18-0,D-7Fryst
411476,12.98934659,D-7Fryst vs 18-0,D-7Fryst
411477,12.96787512,D-7Fryst vs 18-0,D-7Fryst
411479,7.398233251,D-7Fryst vs 18-0,D-7Fryst
411486,4.31698324,D-7Fryst vs 18-0,D-7Fryst
411901,6.608038918,D-7Fryst vs 18-0,D-7Fryst
411902,2.462525041,D-7Fryst vs 18-0,D-7Fryst
411903,2.561930493,D-7Fryst vs 18-0,D-7Fryst
428125,5.513794655,D-7Fryst vs 18-0,D-7Fryst
435590,13.88707273,D-7Fryst vs 18-0,D-7Fryst
435591,5.620025647,D-7Fryst vs 18-0,D-7Fryst
445970,8.055507296,D-7Fryst vs 18-0,D-7Fryst
445972,1.696209736,D-7Fryst vs 18-0,D-7Fryst
449673,10.34389209,D-7Fryst vs 18-0,D-7Fryst
450749,2.592933373,D-7Fryst vs 18-0,D-7Fryst
457412,3.03763934,D-7Fryst vs 18-0,D-7Fryst
457421,1.628811049,D-7Fryst vs 18-0,D-7Fryst
457424,7.884960025,D-7Fryst vs 18-0,D-7Fryst
469593,14.72135427,D-7Fryst vs 18-0,D-7Fryst
470145,11.79554553,D-7Fryst vs 18-0,D-7Fryst
470146,1.811077155,D-7Fryst vs 18-0,D-7Fryst
471870,2.911623947,D-7Fryst vs 18-0,D-7Fryst
471875,2.827705896,D-7Fryst vs 18-0,D-7Fryst
479436,1.928210902,D-7Fryst vs 18-0,D-7Fryst
483215,5.673648489,D-7Fryst vs 18-0,D-7Fryst
483216,13.00562605,D-7Fryst vs 18-0,D-7Fryst
483217,7.681465371,D-7Fryst vs 18-0,D-7Fryst
483218,1.780136758,D-7Fryst vs 18-0,D-7Fryst
484018,6.2843013,D-7Fryst vs 18-0,D-7Fryst
500632,1.690660581,D-7Fryst vs 18-0,D-7Fryst
511680,1.591609344,D-7Fryst vs 18-0,D-7Fryst
515619,8.382184388,D-7Fryst vs 18-0,D-7Fryst
515620,4.330558555,D-7Fryst vs 18-0,D-7Fryst
518636,2.825446843,D-7Fryst vs 18-0,D-7Fryst
525259,1.583406601,D-7Fryst vs 18-0,D-7Fryst
536231,3.01005104,D-7Fryst vs 18-0,D-7Fryst
537006,5.726408814,D-7Fryst vs 18-0,D-7Fryst
537007,1.670797653,D-7Fryst vs 18-0,D-7Fryst
537011,2.897541578,D-7Fryst vs 18-0,D-7Fryst
537012,2.034713502,D-7Fryst vs 18-0,D-7Fryst
545696,1.573108453,D-7Fryst vs 18-0,D-7Fryst
546273,2.471286168,D-7Fryst vs 18-0,D-7Fryst
547042,5.343456046,D-7Fryst vs 18-0,D-7Fryst
548480,4.104402475,D-7Fryst vs 18-0,D-7Fryst
552398,3.029384251,D-7Fryst vs 18-0,D-7Fryst
561,1.735933179,D-7Fryst vs 18-0,D-7Fryst
563192,4.868078063,D-7Fryst vs 18-0,D-7Fryst
563193,5.646307667,D-7Fryst vs 18-0,D-7Fryst
585394,4.077991476,D-7Fryst vs 18-0,D-7Fryst
592028,8.871056141,D-7Fryst vs 18-0,D-7Fryst
622312,8.644021123,D-7Fryst vs 18-0,D-7Fryst
626522,2.057574942,D-7Fryst vs 18-0,D-7Fryst
649757,1.739183444,D-7Fryst vs 18-0,D-7Fryst
657309,7.612995706,D-7Fryst vs 18-0,D-7Fryst
657313,2.958402816,D-7Fryst vs 18-0,D-7Fryst
657314,2.064495609,D-7Fryst vs 18-0,D-7Fryst
657321,2.117288076,D-7Fryst vs 18-0,D-7Fryst
658659,1.513408306,D-7Fryst vs 18-0,D-7Fryst
665951,2.89349446,D-7Fryst vs 18-0,D-7Fryst
679189,6.478405573,D-7Fryst vs 18-0,D-7Fryst
679935,5.263201497,D-7Fryst vs 18-0,D-7Fryst
709991,8.118081652,D-7Fryst vs 18-0,D-7Fryst
717959,9.740081218,D-7Fryst vs 18-0,D-7Fryst
717960,2.035069543,D-7Fryst vs 18-0,D-7Fryst
717962,2.007429701,D-7Fryst vs 18-0,D-7Fryst
718252,13.55353483,D-7Fryst vs 18-0,D-7Fryst
742726,7.616974713,D-7Fryst vs 18-0,D-7Fryst
742727,5.455788067,D-7Fryst vs 18-0,D-7Fryst
742733,2.506086316,D-7Fryst vs 18-0,D-7Fryst
742740,1.859276115,D-7Fryst vs 18-0,D-7Fryst
742817,2.467896605,D-7Fryst vs 18-0,D-7Fryst
742821,1.774971696,D-7Fryst vs 18-0,D-7Fryst
748224,11.4606328,D-7Fryst vs 18-0,D-7Fryst
762968,3.812285207,D-7Fryst vs 18-0,D-7Fryst
762982,8.863410263,D-7Fryst vs 18-0,D-7Fryst
762984,4.14541819,D-7Fryst vs 18-0,D-7Fryst
763034,3.815286375,D-7Fryst vs 18-0,D-7Fryst
862965,7.078430891,D-7Fryst vs 18-0,D-7Fryst
866776,2.134460311,D-7Fryst vs 18-0,D-7Fryst
868129,2.041003799,D-7Fryst vs 18-0,D-7Fryst
888048,1.75545481,D-7Fryst vs 18-0,D-7Fryst
997884,6.847457509,D-7Fryst vs 18-0,D-7Fryst
999410,1.596274875,D-7Fryst vs 18-0,D-7Fryst
1002367,5.536367438,D-3 vs 19-0,D-3
1077285,10.63245017,D-3 vs 19-0,D-3
1121097,1.749699537,D-3 vs 19-0,D-3
1121100,9.632969008,D-3 vs 19-0,D-3
1121101,2.675374197,D-3 vs 19-0,D-3
1121115,4.61010378,D-3 vs 19-0,D-3
1121130,7.182172863,D-3 vs 19-0,D-3
1122975,1.944117651,D-3 vs 19-0,D-3
1122981,2.059020925,D-3 vs 19-0,D-3
1160721,13.53926888,D-3 vs 19-0,D-3
1203465,3.141924169,D-3 vs 19-0,D-3
1203606,2.017787996,D-3 vs 19-0,D-3
1203610,2.82235653,D-3 vs 19-0,D-3
1203611,8.90455673,D-3 vs 19-0,D-3
1235789,2.735702552,D-3 vs 19-0,D-3
1235811,2.554545751,D-3 vs 19-0,D-3
1256908,4.214703763,D-3 vs 19-0,D-3
1282887,2.436688657,D-3 vs 19-0,D-3
1322347,5.077032452,D-3 vs 19-0,D-3
1408437,2.515633716,D-3 vs 19-0,D-3
1410647,2.074959193,D-3 vs 19-0,D-3
1437612,6.172251113,D-3 vs 19-0,D-3
213810,2.422727113,D-3 vs 19-0,D-3
226186,6.019414194,D-3 vs 19-0,D-3
347253,5.313592697,D-3 vs 19-0,D-3
364106,3.617095388,D-3 vs 19-0,D-3
367928,5.63746048,D-3 vs 19-0,D-3
411459,2.752119151,D-3 vs 19-0,D-3
411461,5.585589303,D-3 vs 19-0,D-3
411462,5.698369118,D-3 vs 19-0,D-3
411463,9.255564117,D-3 vs 19-0,D-3
411467,3.396881164,D-3 vs 19-0,D-3
411468,2.088260875,D-3 vs 19-0,D-3
411469,3.258373302,D-3 vs 19-0,D-3
411470,3.035851279,D-3 vs 19-0,D-3
411471,4.762457317,D-3 vs 19-0,D-3
411473,2.641724759,D-3 vs 19-0,D-3
411474,2.024731813,D-3 vs 19-0,D-3
411475,5.541410826,D-3 vs 19-0,D-3
411476,13.87916466,D-3 vs 19-0,D-3
411477,10.58938071,D-3 vs 19-0,D-3
411479,9.176185455,D-3 vs 19-0,D-3
411486,6.800283308,D-3 vs 19-0,D-3
411901,7.727417134,D-3 vs 19-0,D-3
411902,3.299142779,D-3 vs 19-0,D-3
411903,3.789561326,D-3 vs 19-0,D-3
428125,2.274160492,D-3 vs 19-0,D-3
428127,1.97986873,D-3 vs 19-0,D-3
428128,3.461795545,D-3 vs 19-0,D-3
435590,12.55612699,D-3 vs 19-0,D-3
435591,5.812724138,D-3 vs 19-0,D-3
445970,9.968980791,D-3 vs 19-0,D-3
445972,2.601421931,D-3 vs 19-0,D-3
